Experience ID,Activity Name,Experience Name,Short Description,Category,Destination,Duration (hrs),Price (EUR),Rating,Review Count,Main Features,Monthly Availability
EXP_100046,Attractions & Guided Tours in Tenerife,Tour de leyendas y misterios por La Laguna en grupo reducido,Historias sorprendentes en torno a La Laguna al caer la tarde.,Attractions & Guided Tours,Tenerife,2.6,241.17,3.5,822,"['Free cancellation', 'Mobile ticket', 'Skip-the-line']","[147, 205, 117, 101, 86, 81, 84, 96, 103, 116, 106, 91]"
EXP_100047,Transfers in Gran Canaria,Traslado de ida y vuelta al aeropuerto en vehículo eléctrico 24 horas,"Ambos trayectos cubiertos, en vehículo eléctrico. Gran Canaria.",Transfers,Gran Canaria,7.8,20.36,4.8,390,"['Free cancellation', 'Instant confirmation']","[145, 120, 93, 71, 92, 88, 65, 97, 89, 68, 87, 61]"
EXP_100048,Transfers in Palma de Mallorca,Chófer por horas en vehículo eléctrico con espera incluida,"Vehículo con conductor a tu disposición, en vehículo eléctrico. Palma de Mallorca.",Transfers,Palma de Mallorca,4.7,248.31,3.6,851,"['Mobile ticket', 'Instant confirmation']","[53, 64, 57, 89, 55, 91, 123, 94, 118, 110, 27, 24]"
EXP_100049,Transfers in Seville,Traslado privado aeropuerto-hotel con silla infantil incluida 24 horas,"Conductor esperándote a la llegada, trayecto directo con silla infantil incluida. Seville.",Transfers,Seville,4.9,242.63,4.3,752,"['Wheelchair accessible', 'Mobile ticket']","[91, 143, 83, 129, 173, 55, 50, 68, 95, 133, 88, 47]"
EXP_100050,Excursions & Day Trips in Madrid,Excursión al atardecer a la Sierra de Guadarrama con guía local,Vive la puesta de sol en la Sierra de Guadarrama en grupo reducido.,Excursions & Day Trips,Madrid,5.4,176.98,4.2,752,"['Skip-the-line', 'Instant confirmation', 'Free cancellation']","[97, 77, 128, 86, 89, 105, 94, 80, 65, 111, 64, 85]"
EXP_100051,Tickets and Events in Tenerife,Entrada a Santa Cruz con degustación incluida,Acceso general a Santa Cruz con horario a tu elección.,Tickets and Events,Tenerife,5.4,150.24,4.9,1361,"['Wheelchair accessible', 'Mobile ticket']","[78, 114, 81, 67, 105, 94, 82, 143, 79, 91, 94, 79]"
EXP_100052,Local Experiences in Madrid,Ruta de tapas por La Latina con degustación incluida,Recorrido gastronómico por los bares clásicos de La Latina.,Local Experiences,Madrid,1.3,77.43,4.9,432,"['Skip-the-line', 'Mobile ticket', 'Instant confirmation', 'Wheelchair accessible']","[106, 86, 91, 151, 86, 55, 131, 154, 96, 64, 86, 84]"
EXP_100053,Local Experiences in Palma de Mallorca,Ruta de tapas por el casco antiguo edición premium,Recorrido gastronómico por los bares clásicos de el casco antiguo.,Local Experiences,Palma de Mallorca,7.2,119.36,4.4,403,"['Wheelchair accessible', 'Instant confirmation']","[29, 28, 58, 76, 58, 121, 187, 107, 76, 53, 33, 15]"
EXP_100054,Attractions & Guided Tours in Valencia,Tour privado por la Ciudad de las Artes con guía local,Visita exclusiva a la Ciudad de las Artes adaptada a tu ritmo.,Attractions & Guided Tours,Valencia,2.9,55.15,4.2,1271,"['Instant confirmation', 'Wheelchair accessible']","[77, 73, 139, 88, 143, 75, 126, 109, 71, 81, 84, 58]"
EXP_100055,Local Experiences in Palma de Mallorca,Encuentro con artesanos de el casco antiguo con recogida en el hotel,Conoce talleres locales de el casco antiguo y su oficio tradicional.,Local Experiences,Palma de Mallorca,3.5,150.08,3.6,159,"['Skip-the-line', 'Free cancellation', 'Mobile ticket', 'Wheelchair accessible']","[37, 69, 73, 113, 152, 122, 138, 214, 133, 53, 64, 46]"
EXP_100056,Tickets and Events in Barcelona,Entrada combinada: el Park Güell con guía local,Ticket combinado que incluye el Park Güell y museos asociados.,Tickets and Events,Barcelona,7.8,246.69,4.5,648,"['Wheelchair accessible', 'Free cancellation']","[56, 50, 95, 90, 159, 100, 102, 84, 103, 88, 89, 55]"
EXP_100057,Attractions & Guided Tours in Barcelona,Tour privado por la Casa Batlló para toda la familia,Visita exclusiva a la Casa Batlló adaptada a tu ritmo.,Attractions & Guided Tours,Barcelona,4.8,84.29,4.7,1168,"['Mobile ticket', 'Instant confirmation', 'Free cancellation']","[50, 53, 82, 105, 69, 72, 90, 74, 94, 37, 45, 43]"
EXP_100058,Local Experiences in Seville,Ruta de tapas por el Arenal con guía local,Recorrido gastronómico por los bares clásicos de el Arenal.,Local Experiences,Seville,5.8,49.03,4.9,1345,"['Wheelchair accessible', 'Free cancellation']","[39, 61, 74, 96, 119, 63, 43, 60, 115, 70, 54, 69]"
EXP_100059,Local Experiences in Malaga,Velada tradicional en el Soho edición premium,Noche de música y cultura local en el Soho.,Local Experiences,Malaga,6.8,237.95,4.6,597,"['Wheelchair accessible', 'Instant confirmation', 'Free cancellation', 'Skip-the-line']","[40, 54, 58, 85, 60, 82, 105, 66, 56, 67, 32, 21]"
EXP_100060,Tickets and Events in Palma de Mallorca,Entrada sin colas a la Catedral de Palma al amanecer,"Acceso prioritario a la Catedral de Palma, sin esperas.",Tickets and Events,Palma de Mallorca,5.3,110.38,4.9,1232,"['Wheelchair accessible', 'Skip-the-line', 'Instant confirmation', 'Free cancellation']","[48, 76, 39, 59, 80, 165, 131, 140, 74, 56, 53, 42]"
EXP_100061,Excursions & Day Trips in Barcelona,Ruta guiada por el Montseny con guía local,Recorrido guiado por el Montseny con paradas panorámicas.,Excursions & Day Trips,Barcelona,7.1,20.85,3.5,988,"['Wheelchair accessible', 'Free cancellation', 'Skip-the-line']","[83, 76, 101, 110, 143, 151, 87, 68, 140, 123, 55, 41]"
EXP_100062,Local Experiences in Tenerife,Cata de quesos canarios edición premium,Degustación comentada de quesos canarios en un local con encanto.,Local Experiences,Tenerife,3.6,204.53,5.0,1043,"['Instant confirmation', 'Free cancellation', 'Wheelchair accessible']","[92, 101, 121, 78, 0, 0, 0, 0, 0, 112, 102, 93]"
EXP_100063,Tickets and Events in Malaga,Entrada combinada: el Museo Picasso con degustación incluida,Ticket combinado que incluye el Museo Picasso y museos asociados.,Tickets and Events,Malaga,2.1,152.59,4.1,611,"['Instant confirmation', 'Skip-the-line', 'Wheelchair accessible', 'Mobile ticket']","[38, 64, 71, 78, 101, 90, 114, 95, 84, 38, 43, 31]"
EXP_100064,Excursions & Day Trips in Madrid,Safari fotográfico por Segovia con degustación incluida,Captura los mejores rincones de Segovia con un guía fotógrafo.,Excursions & Day Trips,Madrid,7.8,212.11,4.8,487,"['Instant confirmation', 'Skip-the-line', 'Mobile ticket']","[49, 107, 112, 110, 87, 100, 61, 59, 59, 83, 66, 45]"
EXP_100065,Attractions & Guided Tours in Gran Canaria,Recorrido histórico por el Puerto de Las Palmas en grupo reducido,Viaja al pasado de el Puerto de Las Palmas de la mano de un historiador.,Attractions & Guided Tours,Gran Canaria,4.3,109.56,3.9,232,"['Free cancellation', 'Mobile ticket']","[93, 82, 127, 89, 69, 76, 80, 78, 55, 70, 59, 54]"
EXP_100066,Attractions & Guided Tours in Tenerife,Tour privado por La Orotava con recogida en el hotel,Visita exclusiva a La Orotava adaptada a tu ritmo.,Attractions & Guided Tours,Tenerife,1.4,217.53,4.7,769,"['Skip-the-line', 'Wheelchair accessible', 'Instant confirmation', 'Free cancellation']","[112, 98, 55, 76, 96, 99, 107, 87, 61, 59, 82, 88]"
EXP_100067,Tickets and Events in Tenerife,Entrada combinada: Santa Cruz edición premium,Ticket combinado que incluye Santa Cruz y museos asociados.,Tickets and Events,Tenerife,8.0,249.19,4.3,617,"['Skip-the-line', 'Wheelchair accessible']","[184, 162, 116, 0, 0, 113, 110, 0, 114, 0, 0, 121]"
EXP_100068,Tickets and Events in Barcelona,Noche de música en vivo en la Barceloneta con recogida en el hotel,Sesión íntima de artistas locales en la Barceloneta.,Tickets and Events,Barcelona,6.4,236.74,4.8,1063,"['Skip-the-line', 'Wheelchair accessible', 'Free cancellation', 'Mobile ticket']","[56, 69, 77, 58, 72, 120, 65, 48, 49, 71, 62, 57]"
EXP_100069,Excursions & Day Trips in Palma de Mallorca,Excursión al atardecer a Sóller con guía local,Vive la puesta de sol en Sóller en grupo reducido.,Excursions & Day Trips,Palma de Mallorca,2.7,118.13,3.7,84,"['Skip-the-line', 'Free cancellation', 'Wheelchair accessible', 'Instant confirmation']","[35, 17, 52, 99, 67, 101, 104, 90, 79, 75, 37, 17]"
EXP_100070,Local Experiences in Madrid,Experiencia gastronómica: cocido madrileño con guía local,Menú degustación en torno a cocido madrileño con maridaje.,Local Experiences,Madrid,7.7,155.48,3.8,1151,"['Mobile ticket', 'Wheelchair accessible', 'Skip-the-line', 'Instant confirmation']","[93, 61, 96, 65, 71, 67, 119, 62, 55, 82, 52, 49]"
EXP_100071,Excursions & Day Trips in Gran Canaria,Ruta en bicicleta por las dunas de Maspalomas para toda la familia,Pedalea por las dunas de Maspalomas con bicicleta y casco incluidos.,Excursions & Day Trips,Gran Canaria,5.7,158.35,4.0,550,"['Mobile ticket', 'Instant confirmation', 'Skip-the-line', 'Wheelchair accessible']","[102, 68, 70, 54, 56, 60, 38, 79, 42, 39, 52, 58]"
EXP_100072,Tickets and Events in Malaga,Noche de música en vivo en Pedregalejo en grupo reducido,Sesión íntima de artistas locales en Pedregalejo.,Tickets and Events,Malaga,1.8,171.18,4.3,811,"['Free cancellation', 'Mobile ticket', 'Instant confirmation', 'Wheelchair accessible']","[51, 80, 55, 79, 81, 96, 128, 80, 118, 76, 33, 27]"
EXP_100073,Excursions & Day Trips in Seville,Excursión al atardecer a Carmona con degustación incluida,Vive la puesta de sol en Carmona en grupo reducido.,Excursions & Day Trips,Seville,6.4,134.84,4.8,1073,"['Instant confirmation', 'Mobile ticket']","[51, 56, 71, 80, 74, 62, 29, 32, 52, 74, 67, 38]"
EXP_100074,Transfers in Palma de Mallorca,Traslado compartido aeropuerto-ciudad en minivan,"Opción económica con paradas limitadas, en minivan. Palma de Mallorca.",Transfers,Palma de Mallorca,4.9,144.63,4.8,834,"['Mobile ticket', 'Wheelchair accessible', 'Free cancellation']","[24, 36, 59, 83, 107, 144, 145, 188, 99, 64, 48, 24]"
EXP_100075,Tickets and Events in Barcelona,Entrada a la Sagrada Família,Acceso general a la Sagrada Família con horario a tu elección.,Tickets and Events,Barcelona,3.8,42.16,3.5,507,"['Instant confirmation', 'Wheelchair accessible', 'Skip-the-line']","[67, 66, 68, 112, 69, 138, 80, 59, 78, 53, 50, 64]"
EXP_100076,Local Experiences in Malaga,Cata de espetos y pescaíto para toda la familia,Degustación comentada de espetos y pescaíto en un local con encanto.,Local Experiences,Malaga,6.3,158.87,4.6,546,"['Wheelchair accessible', 'Mobile ticket', 'Instant confirmation', 'Skip-the-line']","[53, 43, 82, 104, 122, 103, 171, 61, 84, 50, 39, 26]"
EXP_100077,Transfers in Valencia,Traslado nocturno en sedán premium,"Servicio disponible en horario nocturno, en sedán premium. Valencia.",Transfers,Valencia,2.5,42.73,3.5,262,"['Wheelchair accessible', 'Skip-the-line', 'Free cancellation']","[41, 76, 50, 61, 54, 61, 67, 69, 70, 69, 38, 42]"
EXP_100078,Local Experiences in Madrid,Velada tradicional en Malasaña en grupo reducido,Noche de música y cultura local en Malasaña.,Local Experiences,Madrid,3.5,151.58,4.1,245,"['Wheelchair accessible', 'Free cancellation', 'Instant confirmation']","[45, 61, 81, 85, 75, 79, 63, 70, 73, 61, 64, 28]"
EXP_100079,Tickets and Events in Malaga,Concierto en el Soho con degustación incluida,Música en directo en una sala emblemática de el Soho.,Tickets and Events,Malaga,4.1,227.0,4.0,202,"['Wheelchair accessible', 'Instant confirmation', 'Skip-the-line', 'Free cancellation']","[54, 21, 40, 78, 84, 58, 80, 116, 69, 104, 43, 40]"
EXP_100080,Transfers in Palma de Mallorca,Traslado nocturno en taxi oficial puerta a puerta,"Servicio disponible en horario nocturno, en taxi oficial. Palma de Mallorca.",Transfers,Palma de Mallorca,4.6,198.08,4.1,295,"['Skip-the-line', 'Mobile ticket', 'Wheelchair accessible']","[51, 43, 42, 70, 89, 77, 111, 90, 111, 60, 30, 26]"
